company_name for Emails,facebook_url,domain
SEUR,https://facebook.com/seur.es,seur.com
Massimo Dutti,https://facebook.com/MassimoDuttiOfficial/,massimodutti.com
Servicio Publico de Empleo Estatal SEPE,https://www.facebook.com/SEPE.EMPLEO,sepe.es
Telepizza,https://www.facebook.com/telepizza,telepizza.es
Bahia Principe Hotels & Resorts,https://facebook.com/bahiaprincipe,bahia-principe.com
MEETINGS & EVENTS H10 HOTELS,,
Madrid Es Economía,,
MEETINGS & EVENTS H10 HOTELS,,
Iberdrola España,,iberdrolaespana.com
EMT Madrid,https://www.facebook.com/emtmadrid,emtmadrid.es
Law firm,,
ZARA HOME,https://facebook.com/zarahome,zarahome.com
Law firm,,
Aena,http://www.facebook.com/Aena.es,aena.es
Tecnicas Reunidas,,tecnicasreunidas.es
ACERINOX,,acerinox.com
Elecnor Group,https://facebook.com/Elecnor-SA-260675507282379/info/?tab=page_info,grupoelecnor.com
Real Madrid C.F,https://facebook.com/RealMadrid/,realmadrid.com
Ministerio de Defensa Español,https://www.facebook.com/Ministerio-de-Defensa-285378284905999/,mde.es
Digi Spain Telecom,https://facebook.com/digimobil.es,digimobil.es
Horse,,horse.cars
Insud Pharma,https://facebook.com/insudpharma/,insudpharma.com
Endesa,https://facebook.com/endesaclientes,endesa.com
Universidad Complutense de Madrid,https://facebook.com/UniComplutense,ucm.es
Transports Metropolitans de Barcelona,https://www.facebook.com/TransportsMetropolitansdeBarcelona,tmb.cat
Otros,,
GADISA,,gadisa.es
Otros,,
Generalitat Valenciana,https://facebook.com/gva.es,gva.es
Ninguna pagina,,cartobol.es
GCO,https://facebook.com/CatalanaOccidente,gco.com
osakidetza,https://www.facebook.com/IVAP-367368860124901/,euskadi.eus
Hospital Universitario Virgen del Rocío,https://www.facebook.com/HospitalUVRocio/,hospitaluvrocio.es
Moove Cars,,moovecars.com
Gobierno de Aragón,,aragonhoy.es
Junta de Castilla y León,https://facebook.com/pages/Gineraldia/437951479632679,
Grupo Fuertes,,grupofuertes.com
Junta de Castilla y León,https://facebook.com/pages/Gineraldia/437951479632679,
Securitas Direct part of Verisure,,securitasdirect.es
Food Delivery Brands,,fooddeliverybrands.com
Bosch España,,grupo-bosch.es
MasOrange,,masorange.es
Onet Iberia,,onet.es
Universitat Autònoma de Barcelona,https://www.facebook.com/uabbarcelona,uab.cat
Spanish Army,,
Santander Digital Services,,santanderdigitalservices.com
Spanish Army,,
Universidad de Sevilla,,us.es
ALDI ESPAÑA,https://www.facebook.com/aldi.espana,aldi.es
COMSA Corporación,,comsa.com
FCC,http://www.facebook.com/FCC,fcc.es
Unicaja,,unicajabanco.es
Institut Català de la Salut,https://facebook.com/gencat,
Institut Català de la Salut,https://facebook.com/gencat,
FC Barcelona,https://es-es.facebook.com/fcbarcelona/,fcbarcelona.com
Servicio Andaluz de Sa,,smjaen.com
No Tengo Sitio,,notengositio.com
BM Supermercados,https://facebook.com/BMSupermercados,bmsupermercados.es
International University of La Rioja,https://www.facebook.com/UNIRUniversidad,unir.net
SESCAM,http://es-es.facebook.com/pages/Junta-de-Comunidades-de-Castilla-La-Mancha/169469269817126,castillalamancha.es
